step,agent_id,x,y,z,found_target
1,0,7.655714,7.2898765,14.304834,0
1,1,7.54928,0.51668054,7.629731,0
1,2,7.207727,7.7923846,0.07710828,0
2,0,7.6494083,7.0770116,13.893008,0
2,1,7.485814,1.0324166,7.7095356,0
2,2,6.8310294,7.9140973,0.20983635,0
3,0,7.472653,7.421466,13.598554,0
3,1,7.4256887,1.5317881,7.859286,0
3,2,6.4420676,7.8869734,0.13935089,0
4,0,7.1232243,7.490773,13.380285,0
4,1,7.300831,2.025469,7.8084307,0
4,2,6.106997,7.6906424,0.13345857,0
5,0,6.7980947,7.7656097,13.243488,0
5,1,7.15435,2.4794414,7.64702,0
5,2,5.919448,7.3749676,0.3167547,0
6,0,6.5142455,8.087097,13.073329,0
6,1,7.058474,2.8854265,7.3556314,0
6,2,5.799135,7.107586,0.63413644,0
7,0,6.474148,8.505143,12.765247,0
7,1,6.9950066,3.269551,7.021507,0
7,2,5.7372704,6.8230715,0.9686508,0
8,0,6.6547475,8.940952,12.457587,0
8,1,7.013442,3.6683686,6.6726894,0
8,2,5.7442307,6.525693,1.3160293,0
9,0,6.9169645,9.268216,12.074429,0
9,1,7.0738435,4.0708113,6.3202467,0
9,2,5.7891803,6.224289,1.6674333,0
10,0,7.196385,9.62207,11.720196,0
10,1,7.143591,4.4752307,5.968861,0
10,2,5.8720274,5.9209437,2.0207787,0
11,0,7.6423864,9.870709,11.418823,0
11,1,7.3494806,4.8689566,5.6215286,0
11,2,5.726912,5.675595,2.3412275,0
12,0,8.06013,10.122748,11.089856,0
12,1,7.7401385,5.248237,5.3825884,0
12,2,5.5875206,5.4576197,2.6889071,0
13,0,8.470307,10.178241,10.697734,0
13,1,8.09943,5.721429,5.321954,0
13,2,5.40636,5.2522283,3.014059,0
14,0,8.777509,10.136889,10.251951,0
14,1,8.410424,6.2092185,5.4395194,0
14,2,5.1461244,5.1245637,3.3118267,0
15,0,8.689975,10.208828,9.788972,0
15,1,8.837646,6.485105,5.742672,0
15,2,5.3910103,5.4209814,3.722054,0
16,0,8.858024,10.130926,9.310421,0
16,1,9.146182,6.7350636,6.150752,0
16,2,5.213708,5.184,4.0232935,0
17,0,8.981099,9.728424,9.521867,0
17,1,9.506433,7.158171,5.9432425,0
17,2,5.2700815,5.210675,4.52084,0
18,0,8.976756,10.191706,9.260504,0
18,1,9.939051,7.514855,5.730381,0
18,2,5.1676474,5.3548064,4.968232,0
19,0,8.705831,9.9064665,9.255077,0
19,1,10.10449,8.049601,5.834011,0
19,2,5.207034,5.375131,5.4636564,0
20,0,8.414033,9.786965,9.515393,0
20,1,10.217013,8.599407,5.8400736,0
20,2,5.3034368,5.4357986,5.9635296,0
21,0,8.097213,9.739429,9.77375,0
21,1,10.377208,9.108878,5.65229,0
21,2,5.4229913,5.546095,6.4594955,0
22,0,7.7487917,9.893067,9.969141,0
22,1,10.287008,9.485852,5.3253155,0
22,2,5.930599,5.7989717,6.666128,0
23,0,7.6704574,10.273368,9.638841,0
23,1,10.033455,9.889405,5.325182,0
23,2,5.6147275,5.960253,6.4118304,0
24,0,7.4817824,10.034693,9.927516,0
24,1,9.84478,10.228081,5.0365067,0
24,2,5.4199796,5.939734,6.0141487,0
25,0,7.2086754,10.011506,9.602809,1
25,1,9.635944,10.586916,4.793111,1
25,2,5.225337,5.9468393,5.61247,1
